pest_common_name,pest_scientific_name,pest_type,record_type,year_first_detected_us,estimated_year_arrival,origin_country,origin_region,mode_of_entry,commodity_pathway,port_of_entry,host_plant_animal,us_states_affected,spread_rate_km_per_year,economic_impact_usd,impact_sector,inoculum_type,quarantine_status,eradication_status,data_verified_date,data_sources,economic_impact_source_url,economic_impact_year,economic_verified_date
Rugose Spiraling Whitefly,Aleurodicus rugioperculatus,Insect - Whitefly (Aleyrodidae),Pest,2009,2009,Central America / Caribbean (likely origin),Central America / Caribbean,Unknown — likely ornamental plant trade,Infected ornamental plant material (palms; tropical woody ornamentals),Miami-Dade County FL (first US detection March 11 2009 — FDACS inspector Olga Garcia),Palms (22% of host records); gumbo limbo; avocado; mango; coconut; 68+ host species documented by DPI,"FL (17 counties — primary); Broward, Collier, Lee, Miami-Dade, Palm Beach, St. Lucie most affected",Moderate (flight and ornamental trade),$10 million/year ornamental and commercial horticulture losses in FL (FDACS estimate 2016); sooty mold causes additional property damage; no USDA aggregate figure published,Horticulture/Ornamental/Agriculture - Avocado/Mango,Not applicable — insect pest (piercing-sucking feeding; copious honeydew and wax production),No federal quarantine (established in FL); biological control being studied,Established,2026-04-10,UF/IFAS EDIS EENY578; FDACS Pest Alert; MREC IFAS — first detection March 2009 Miami-Dade County,https://www.fdacs.gov/Divisions-Offices/Plant-Industry/Bureaus-and-Services/Bureau-of-Entomology-Nematology-Plant-Pathology/Pest-Alerts,2016,2026-04-13
Light Brown Apple Moth,Epiphyas postvittana,Insect - Moth (Tortricidae),Pest,2006,2006,Australia (native),Oceania (Australia),Unknown — likely ornamental plant trade or produce,Infected host plant material from Australia or UK (where also established),Alameda and Contra Costa Counties CA (confirmed outbreak announced March 22 2007; first detection 2006),Originally 250+ host plants listed (apples; grapes; citrus; strawberry; cucumber); APHIS later exempted 100+ hosts as impact was re-evaluated,CA (established in Bay Area); HI (established) — quarantine removed December 2021,Moderate (flight; nursery trade),$640 million/year initial USDA APHIS estimate for CA agricultural risk (USDA APHIS EA 2007); APHIS reclassified as non-quarantine pest 2021 after 15-year program; actual damage less severe than projected,Agriculture/Horticulture - multiple crops,Not applicable — insect pest (larval leaf rolling and feeding),Federal quarantine removed December 17 2021; reclassified as non-quarantine pest; eradication program ended,Established,2026-04-10,USDA APHIS — quarantine removal notice December 2021; NISIC; UC IPM LBAM page,https://www.aphis.usda.gov/plant_health/ea/downloads/lbam-ea-2007.pdf,2007,2026-04-13
Asian Longhorned Tick,Haemaphysalis longicornis,Insect - Tick (Acari: Ixodidae),Pest,2017,2017,East Asia (China; Korea; Japan; New Zealand — established),East Asia,Unknown — likely livestock trade or wildlife movement,Unknown — possibly imported livestock or wildlife movement; parthenogenetic so single individual can establish a population,Hunterdon County NJ (first US detection August 2017 — on sheep; confirmed by CDC/USDA November 2017),Livestock (cattle; sheep; deer — preferred); dogs; cats; rabbits; birds; humans — feeds on virtually all vertebrates,"NJ, AR, CT, MD, NC, NY, PA, VA, WV (initial 2017-2018); now confirmed in 17+ eastern states",Rapid (parthenogenetic reproduction — no males needed),$10+ million/year current livestock production losses (USDA ARS 2020); potential $100+ million/year as it spreads to major cattle states; confirmed vector of SFTS virus (fatal in Asia),Livestock/Veterinary/Public Health,Not applicable — ectoparasitic tick (blood feeding); can form massive infestations — thousands on single animal,No federal quarantine; USDA APHIS response and monitoring plan active; CDC surveillance ongoing,Established,2026-04-10,CDC MMWR 67(47):2018; USDA APHIS Asian Longhorned Tick program page; NISIC,https://www.ars.usda.gov/oc/utm/asian-longhorned-tick-a-new-tick-in-the-united-states/,2020,2026-04-13
European Grapevine Moth,Lobesia botrana,Insect - Moth (Tortricidae),Pest,2009,2009,Europe (Mediterranean region — native),Europe / Mediterranean,Unknown — likely grape plant material or wine trade packaging,Likely imported grape plant material or vine cuttings,Napa County CA (first US detection October 2009 — commercial vineyard),Grapevine (Vitis vinifera — primary economic host); olive; persimmon; blackberry; numerous other hosts,"CA — 10 counties including Napa, Sonoma, Fresno at peak; eradicated 2016",Rapid initially (nursery trade + flight),$6.6 million federal eradication program cost (USDA APHIS EA 2010); CA grape industry ($3+ billion/year) fully protected; successfully eradicated 2016,Agriculture - Viticulture/Grapes,Not applicable — insect pest (larval feeding on grape berries),ERADICATED — USDA APHIS and CDFA declared eradication August 18 2016; US now EGVM-free,Eradicated,2026-04-10,USDA APHIS EGVM program page; UC IPM 2016 eradication highlight; NISIC,https://www.aphis.usda.gov/plant_health/ea/downloads/egvm-ea-2010.pdf,2016,2026-04-13
Tar Spot of Corn,Phyllachora maydis,Fungal Pathogen,Pathogen/Disease,2015,2015,Latin America (Mexico; Central America; South America — native range),Latin America,Wind dispersal / likely movement of infected plant material,Wind-dispersed ascospores from endemic regions; movement of infected corn debris across borders,"Carroll and Cass Counties Indiana; Bureau, DeKalb, LaSalle Counties Illinois (September 2015 — APS Plant Disease first report)",Corn / maize (Zea mays — only known host),"IN, IL (2015); MI, WI, OH, MN, IA, PA, NY (2018 epidemic spread); now in 20+ Midwest and Great Lakes states",Rapid via wind during epidemic years,$1.2 billion corn yield loss in 2021 alone — 231 million bushels lost (APS/Purdue University 2022); IN alone lost $253 million; 11–46% yield loss in affected fields,Agriculture - Corn/Maize,Wind-dispersed ascospores (airborne — primary long-distance inoculum from infected leaf litter); secondary spread by conidia via rain splash; overwinters as pseudostromata embedded in leaf tissue; polycyclic disease in warm humid conditions,No federal quarantine (established); USDA NIFA funding resistance breeding and fungicide trials,Established,2026-04-10,APS Plant Disease — First Report US: PDIS-12-15-1506-PDN; Purdue Extension; APS Tar Spot Recovery Plan PHP-04-21-0074-RP; 2021 loss data from Midwest corn production reports,https://doi.org/10.1094/PDIS-04-22-0818-PDN,2022,2026-04-13
Grapevine Red Blotch Virus,Grapevine red blotch virus (GRBV) — Genus Grablovirus,Viral Pathogen - Grablovirus,Pathogen/Disease,2008 (first samples; characterized 2011-2012),2008,United States — believed to originate in wild North American Vitis germplasm or via unknown introduction,Unknown — possibly native US source or introduced via international germplasm exchange,Nursery stock / infected planting material,Infected grapevine cuttings and grafted planting material distributed through nursery trade across US,UC Davis Oakville Experimental Vineyard CA (first diseased vines noticed 2007-2008; virus characterized and named 2012),Grapevine (Vitis vinifera; V. labrusca; Vitis spp. — commercial and wild),"CA (widespread); OR, WA, NY, VA, ID, and most US wine grape regions",Slow natural spread (three-cornered alfalfa hopper Spissistilus festinus is vector); rapid via infected planting stock,"$2,200–$68,500 per hectare over 25-year vineyard lifespan (Ricketts et al. 2017, PLOS ONE); US wine grape industry ($4 billion/year) broadly threatened",Agriculture - Viticulture/Wine Grapes,Phloem-limited virus — transmitted by three-cornered alfalfa hopper (Spissistilus festinus) in circulative non-propagative mode; primary spread via infected planting material; graft-transmissible; not mechanically or seed-transmitted,No federal quarantine; voluntary certification programs (USDA Clean Plant Network); management is vine removal and replanting with certified stock,Established,2026-04-10,UC Davis news — GRBV threat to US grape industry; APS Phytopathology 2015; Krenz et al. 2012 (virus first characterized); economic impact: APS PhytoFrontiers 2022 survey,https://doi.org/10.1371/journal.pone.0171869,2017,2026-04-13
Impatiens Downy Mildew,Plasmopara obducens,Oomycete (Water Mold),Pathogen/Disease,2011,2011,Europe (strain virulence increase; widely established globally but new highly virulent strains),Europe / Global,Nursery stock (infected impatiens transplants),Infected impatiens bedding plant transplants distributed via horticultural supply chain nationally,Northeast and Midwest US (fall 2011 — simultaneous reports in multiple states; FL landscape/nursery February 2012),Common impatiens (Impatiens walleriana — highly susceptible; entire plant collapses); New Guinea impatiens (I. hawkeri — tolerant); other Impatiens spp.,"Nationwide — all major US landscape and bedding plant markets; most severe in Northeast, Midwest, FL",Rapid via infected transplant distribution and airborne sporangia,$200+ million/year retail impatiens market effectively eliminated in most US markets (Ball Horticultural 2013); Impatiens walleriana was the #1-selling US bedding plant prior to outbreak,Horticulture/Nursery - Bedding Plants,Sporangia (asexual) — airborne and water-splash dispersed; oospores (sexual) survive in soil for years as thick-walled resting spores; primary inoculum from infected transplants; disease cycle accelerates rapidly in cool moist conditions; systemic infection with no cure,No federal quarantine (established); industry-led transition to New Guinea impatiens and alternative species; cultural and fungicide management,Established,2026-04-10,UMD Extension Impatiens Downy Mildew resource; Penn State Extension; UF/IFAS — first US reports fall 2011 Northeast/Midwest; FL February 2012,https://www.ballpublishing.com/GrowerTalks/ViewArt.aspx?GROUPID=0&ARTICLEID=20854,2013,2026-04-13
Box Tree Moth,Cydalima perspectalis,Insect - Moth (Lepidoptera),Pest,2021,2021,East Asia (China; Japan; Korea — native range),East Asia,Cargo / nursery trade,Infected Buxus (boxwood) nursery stock via horticultural trade — arrived through Canada (Ontario first North America detection 2018),Niagara County NY — larvae collected August 6 2021; adults July 16 2021 (first US breeding population),All Buxus spp. (boxwood); Euonymus; Pachysandra,"NY (Erie, Niagara, Orleans counties — federal quarantine); DE, KY, MA, MD, MI, OH, PA, VA, WV",Rapid via nursery trade,$160+ million/year US boxwood nursery industry at risk (USDA APHIS 2021); active federal eradication program underway; tens of millions of landscape plants threatened,Horticulture/Nursery Industry,Not applicable — insect pest (larval leaf and stem feeding),"Federal quarantine — Erie, Niagara, Orleans Counties NY; eradication program active; no interstate movement of Buxus from quarantine zones",Eradication Ongoing,2026-04-10,USDA APHIS DA-2022-13 (quarantine establishment); APHIS Box Tree Moth Pest Alert; NISIC,https://www.aphis.usda.gov/plant_health/plant_pest_info/box-tree-moth/,2021,2026-04-13
Brown Citrus Aphid,"Toxoptera citricida (Kirkaldy, 1907)",Insect - Aphid,Pest,1995,1995,India,"Southeast Asia (India, China, broader tropical Asia)",Natural Dispersal,Wind-assisted dispersal of alate forms northward through Caribbean islands to southern Florida,"Miami, FL (Dade and Broward Counties)",Citrus species (Rutaceae); primary vector of citrus tristeza closterovirus (CTV),FL,Under assessment,$100+ million/year indirect losses via Citrus Tristeza Virus (CTV) transmission in FL and TX citrus (UF/IFAS IN284 2015); direct feeding losses additional but unquantified,Agriculture,Not applicable — insect pest (but serves as most efficient vector of citrus tristeza virus),No quarantine — established,Established,2026-04-11,"Halbert & Brown, 1996, Florida DPI Entomology Circular 374; UF/IFAS Featured Creatures EENY-007 (https://edis.ifas.ufl.edu/publication/IN133); UC Riverside CISR (https://cisr.ucr.edu/invasive-species/brown-citrus-aphid)",https://edis.ifas.ufl.edu/publication/IN284,2015,2026-04-13
Red Gum Lerp Psyllid,"Glycaspis brimblecombei Moore, 1964",Insect - Other,Pest,1998,1998,Australia,Oceania (Australia),Unknown,Unknown — likely via infested eucalyptus plant material or hitchhiking on trade goods,"El Monte, CA (Los Angeles County)","Eucalyptus species, especially E. camaldulensis (river red gum), E. rudis (flooded gum), E. tereticornis (forest red gum)","CA, AZ, FL, HI",Under assessment — spread rapidly throughout California within months of first detection,$15 million/year in dead tree removal and replacement in Southern CA (CDFA Pest Management 2016); millions of Eucalyptus trees defoliated annually,Urban Forestry,Not applicable — insect pest,No quarantine — established,Established,2026-04-11,"Brennan & Gill, 1999, Pan-Pacific Entomologist 75: 55–57; Gill, 1998, California Plant Pest and Disease Report 17(1–3): 7–8; UC IPM Pest Notes (https://ipm.ucanr.edu/home-and-landscape/eucalyptus-redgum-lerp-psyllid/)",https://www.cdfa.ca.gov/plant/pdep/pest_pubs/psyllid_fs.html,2016,2026-04-13
Lobate Lac Scale,"Paratachardina pseudolobata Kondo & Gullan, 2007",Insect - Scale,Pest,1999,1999,India,"South Asia (India, Sri Lanka)",Ornamental Plant Trade,Imported ornamental woody plants,"Davie, FL (Broward County)","Polyphagous on 300+ woody plant species in 55+ families (Ficus, Hibiscus, Morella cerifera, many others)","FL, HI",Under assessment,Under active assessment — infests 300+ plant species in FL; economic losses to landscape and ornamental industry unquantified (FDACS/UF/IFAS 2020),Horticulture,Not applicable — insect pest,No quarantine — established,Established,2026-04-11,"Hamon, 2001, FDACS-DPI Pest Alert; Howard et al., 2004, UF/IFAS EDIS EENY-276 (https://edis.ifas.ufl.edu/publication/IN471); Pemberton, 2003, Florida Entomologist 86(3): 353–360",https://edis.ifas.ufl.edu/publication/IN893,2020,2026-04-13
Crapemyrtle Bark Scale,"Acanthococcus lagerstroemiae (Kuwana, 1907)",Insect - Scale,Pest,2004,2003,China,"East Asia (China, Japan, Korea, India)",Ornamental Plant Trade,Imported crapemyrtle (Lagerstroemia) nursery stock,"Richardson (Dallas County), TX","Crapemyrtle (Lagerstroemia spp.); also American beautyberry (Callicarpa americana), apple (Malus domestica)","TX, OK, AR, LA, MS, AL, GA, TN, NC, SC, VA, MD, PA, FL, NM",Under assessment — patchy long-distance spread via nursery trade,$66 million/year crapemyrtle wholesale nursery industry at risk (USDA Census of Hort. Specialties 2014); rapid northward expansion documented in 24+ states,Horticulture,Not applicable — insect pest,No federal quarantine,Established,2026-04-11,"Wang et al., 2016, Insects 7(4): 78 (doi:10.3390/insects7040078); UF/IFAS EDIS EENY-711 (https://edis.ifas.ufl.edu/publication/IN1218); EDDMapS (https://www.eddmaps.org/distribution/uscounty.cfm?sub=80722)",https://www.ars.usda.gov/research/project/?accnNo=436474,2014,2026-04-13
Ficus Whitefly,"Singhiella simplex (Singh, 1931)",Insect - Whitefly,Pest,2007,2007,India,"South/Southeast Asia (India, Myanmar, China)",Ornamental Plant Trade,Imported Ficus ornamental plants and hedging stock,"Miami, FL (Miami-Dade County)","Ficus species (F. benjamina, F. microcarpa, F. altissima, F. bengalensis, F. aurea, F. lyrata)","FL, CA, AZ",Under assessment,Multi-million dollar annual losses in FL Ficus hedge and ornamental industry (FDACS/UF/IFAS EENY-437); >99% defoliation of untreated Ficus benjamina trees reported,Horticulture,Not applicable — insect pest,No quarantine — established,Established,2026-04-11,"Hodges, 2007, FDACS-DPI Pest Alert; Avery et al., 2011, Florida Entomologist 94(3): 696–698; Ahmed et al., 2022, Journal of Integrated Pest Management 13(1): 11",https://edis.ifas.ufl.edu/publication/IN830,2014,2026-04-13
European Pepper Moth,"Duponchelia fovealis (Zeller, 1847)",Insect - Moth/Butterfly,Pest,2004,2003,Mediterranean region,"Southern Europe / North Africa (Mediterranean Basin, Canary Islands)",Ornamental Plant Trade,"Infested potted ornamental plants (begonias, poinsettias, and other greenhouse-produced ornamentals)","San Diego County, CA","Peppers, strawberries, begonias, gerbera, kalanchoe, cyclamen, poinsettia, tomatoes, cucumbers, corn, herbs, and aquatic ornamental plants","AL, AZ, CA, CO, FL, HI, MN, MS, NY, NC, OK, OR, SC, TX, WA, GA",Under assessment,Significant annual losses to ornamental greenhouse production (UC IPM 2012); quarantine interceptions cost nursery industry millions in rejected shipments; active USDA monitoring,Horticulture/Agriculture,Not applicable — insect pest,No federal quarantine,Established,2026-04-11,"Brambila, J. and I. Stocks. 2010. Pest Alert: The European pepper moth, Duponchelia fovealis Zeller (Lepidoptera: Crambidae). Florida Dept. of Agriculture and Consumer Services, Division of Plant Industry; UC IPM Floriculture Pest Management Guidelines — Duponchelia fovealis, https://ipm.ucanr.edu/agriculture/floriculture/european-pepper-mothdufo-moth/; Center for Invasive Species Research, UC Riverside, https://cisr.ucr.edu/invasive-species/european-pepper-moth",https://ipm.ucanr.edu/PMG/PESTNOTES/pn74116.html,2012,2026-04-13
Leek Moth,"Acrolepiopsis assectella (Zeller, 1839)",Insect - Moth/Butterfly,Pest,2009,2008,Europe,Europe (widespread throughout continent) and western Asia,Natural Dispersal,"Natural range expansion southward from established Canadian populations (Ottawa, Ontario, first detected 1993); possible movement via infested Allium plant material","Plattsburgh, NY (natural dispersal from Ontario/Quebec, Canada)","Allium species: leeks (primary host), garlic, onions, shallots, chives","NY, VT, NH, ME",Under assessment,"Up to 100% crop loss in Allium vegetables in heavily infested areas (Mason et al. 2013, Pest Mgmt Sci.); NY and NE leek and onion industry ($100M+/year) at risk",Agriculture,Not applicable — insect pest,No federal quarantine,Established,2026-04-11,"Cornell Cooperative Extension. Leek Moth Acrolepiopsis assectella (Zeller) Identification and Management Guide; Mason, P.G. et al., 2013. Biological control of the leek moth, Acrolepiopsis assectella. Comparative life tables of leek moth in its native range, Biological Control 54: 243–253; CFIA (Canadian Food Inspection Agency) Fact Sheet: Acrolepiopsis assectella, https://inspection.canada.ca/en/plant-health/invasive-species/insects/leek-moth/fact-sheet",https://doi.org/10.1002/ps.3561,2013,2026-04-13
Erythrina Gall Wasp,"Quadrastichus erythrinae Kim, 2004",Insect - Wasp,Pest,2005,2005,Tanzania (East Africa),"East Africa (Tanzania, Kenya)",Unknown,Suspected movement via infested Erythrina plant material in international trade; rapid spread across tropical/subtropical Pacific suggests multiple introduction pathways,"Oahu, HI","Erythrina species (coral trees), including endemic Hawaiian wiliwili (Erythrina sandwicensis) and ornamental Erythrina spp.","HI, FL",Under assessment — spread to all major Hawaiian Islands within 6 months of initial detection,$1+ million in tree removal on Oahu alone (Doccola et al. 2009); broader ecosystem losses in FL and Pacific Islands under assessment; all Erythrina species affected,Urban Forestry/Native Ecosystems,Not applicable — insect pest,No federal quarantine,Established,2026-04-11,"Doccola, J.J., S.L. Smith, B.L. Strom, A.C. Medeiros, E. von Allmen. 2009. Systemically applied insecticides for treatment of erythrina gall wasp, Quadrastichus erythrinae Kim (Hymenoptera: Eulophidae). Arboriculture & Urban Forestry 35(4):173–181; Hawaii Invasive Species Council — Erythrina Gall Wasp, https://dlnr.hawaii.gov/hisc/info/biocontrol/latest-biocontrol/erythrina-gall-wasp/; USDA Forest Service R-5 & Southern Research Station. 2007. Early Detection Pest Advisory: Erythrina Gall Wasp",https://www.invasivespeciesinfo.gov/terrestrial/insects-and-spiders/erythrina-gall-wasp,2009,2026-04-13
Pale Cyst Nematode,"Globodera pallida (Stone, 1973) Behrens, 1975",Nematode,Pest,2006,Under assessment,South America (Andean region),"South America (Peru, Bolivia, Ecuador)",Contaminated Seed,Infested potato tubers or contaminated soil on potato propagative material,Unknown,"Potato (Solanum tuberosum), tomato, eggplant, and solanaceous weeds",Limited detection — ID,Under assessment,"$2.6 billion US potato industry at annual risk (USDA NIFA/APHIS); potential yield losses up to 80% in infested fields (Contina et al. 2019, Phytopathology); quarantine in ID and WA",Agriculture,Encysted eggs in soil; cysts can survive 30+ years in soil; second-stage juveniles (J2) hatch in response to potato root diffusate and infect roots to form syncytia,Federal quarantine,Eradication Ongoing,2026-04-11,"Skantar et al., 2007, Journal of Nematology 39:133–146; Hafez et al., 2007, Plant Disease 91:325; Contina et al., 2019, Phytopathology 109:1840–1849; https://www.aphis.usda.gov/plant-pests-diseases/pcn",https://www.aphis.usda.gov/plant_health/plant_pest_info/potato/pale-cyst.shtml,2019,2026-04-13
Guava Root-Knot Nematode,"Meloidogyne enterolobii Yang & Eisenback, 1983",Nematode,Pest,2001,Under assessment,China,East Asia (China — Hainan Island),Ornamental Plant Trade,Infested nursery stock and ornamental plant material with contaminated soil/roots,Unknown — first found in Florida nurseries,"Sweetpotato, guava, tomato, pepper, cotton, soybean, tobacco, ornamental plants (>100 host species)","FL, NC, SC, LA, GA",Under assessment,Under active assessment — total sweetpotato crop losses documented in NC (NC State Extension 2018); impacts on 40+ host crops under quantification by USDA NIFA,Agriculture/Horticulture,Eggs deposited in gelatinous matrix on roots; J2 infective stage penetrates root tips and induces giant cell feeding sites; completes life cycle in 4–5 weeks; overcomes Mi-1 and other RKN resistance genes,State quarantine,Established,2026-04-11,"Brito et al., 2004, Journal of Nematology 36:232–240; Ye et al., 2021, Plant Disease 105:2240–2252; https://www.findmenematode.org/what-is-me",https://content.ces.ncsu.edu/meloidogyne-enterolobii-guava-root-knot-nematode,2018,2026-04-13
Beech Leaf Disease Nematode,"Litylenchus crenatae mccannii Carta, Handoo, Li, Kantor et al., 2020",Nematode,Pest,2012,Under assessment,Japan,East Asia (Japan),Unknown,"Unknown; may have arrived via transport of wood or invertebrate vector (Carta et al., 2020)",Unknown,"American beech (Fagus grandifolia), European beech (Fagus sylvatica), Oriental beech (Fagus orientalis)","OH, PA, NY, NJ, CT, RI, ME, WV, VA, MI",Under assessment,Under active assessment — can cause tree mortality within 6–10 years of initial symptoms; US American beech resource (valued in billions) at risk in 20+ NE and Mid-Atlantic states,Forestry,"Foliar nematode; females, juveniles, and eggs reside in buds and leaf mesophyll tissues; suspected wind or invertebrate-vector dispersal; life cycle completed within leaf and bud tissues",No federal quarantine,Established,2026-04-11,"Carta et al., 2020, Forest Pathology 50:e12580; Burke et al., 2020, Forest Pathology 50:e12579; https://www.invasivespeciesinfo.gov/terrestrial/pathogens-and-diseases/beech-leaf-disease",https://www.fs.usda.gov/research/treesearch/61297,2020,2026-04-13
Red Palm Mite,"Raoiella indica Hirst, 1924",Tick/Mite,Pest,2007,2007,India,"South Asia (India, Sri Lanka)",Natural Dispersal,Wind dispersal from Caribbean infestations; also detected on coconut handicrafts and seed coconuts from Caribbean,"Palm Beach Gardens, FL","Coconut palm (Cocos nucifera), areca palms, date palms, banana (Musa spp.), heliconias, gingers — over 40 palm species",Limited detection — FL,Under assessment,$15+ million/year ornamental palm and coconut industry losses in FL and Caribbean prior to US mainland arrival (USDA ARS/FDACS); significant banana industry threat,Horticulture,Not applicable — mite pest. Flat-bodied tenuipalpid mite; colonies on leaf undersides; wind-dispersed; egg to adult 23–28 days; feeds on leaf cell contents causing yellowing,Regulated article,Established,2026-04-11,"FDACS Division of Plant Industry Pest Alert, Raoiella indica, 2009; Peña et al., 2006, UF/IFAS Extension ENY-837; Peña et al., 2012, Experimental and Applied Acarology 57:1–9; NAPPO Pest Alert 2007",https://edis.ifas.ufl.edu/publication/IN750,2015,2026-04-13
Ellington's Cyst Nematode,"Globodera ellingtonae Handoo, Carta, Skantar & Chitwood, 2012",Nematode,Pest,2008,Under assessment,"South America (Argentina, Chile)","South America (Andean region — Argentina, Chile)",Unknown,Unknown; possibly introduced with potato propagative material or contaminated soil,Unknown,"Potato (Solanum tuberosum), tomato (Solanum lycopersicum)","Limited detection — OR, ID",Under assessment,"Under active assessment — reproduces on potato but pathogenicity in US not definitively established (Handoo et al. 2012, J. Nematology); ID quarantine maintained as precaution",Agriculture,Encysted eggs in soil; J2 hatch in response to potato and tomato root diffusates; sedentary endoparasite forming syncytia in roots; life cycle 38–48 days depending on temperature,No federal quarantine,Limited Detection,2026-04-11,"Handoo et al., 2012, Journal of Nematology 44:40–57; Zasada et al., 2013, Journal of Nematology 45:195–201; Phillips et al., 2017, Journal of Nematology 49:127–128",https://www.aphis.usda.gov/plant_health/plant_pest_info/potato/cyst-nematodes.shtml,2012,2026-04-13
Yellow-Legged Hornet,"Vespa velutina (Lepeletier, 1836)",Insect - Wasp,Pest,2023,2022,Unknown — DNA analysis ruled out European lineage; likely direct from Southeast Asia,"Southeast Asia (China, Vietnam, Indonesia)",Cargo,Suspected shipping containers or cargo through Port of Savannah; exact pathway under investigation,"Savannah, GA","Apis mellifera (honey bee) and native pollinators — apex insect predator; also preys on other Hymenoptera, Diptera, Lepidoptera","GA, SC",16–32 (based on European invasion data; natural dispersal ~10–20 mi/yr noted by Clemson DPI),Bee pollination adds $15 billion/year to US crop values (FDA 2018); YLH directly threatens apiculture in SE US; GA eradication program initiated 2023 — costs and impact under quantification,Agriculture/Horticulture,Not applicable — insect pest,Federal quarantine,Eradication Ongoing,2026-04-11,"USDA APHIS Yellow-Legged Hornet page (https://www.aphis.usda.gov/plant-pests-diseases/yellow-legged-hornet); Georgia Department of Agriculture YLH page (https://agr.georgia.gov/yellow-legged-hornet); Clemson University DPI Hornet Herald (https://blogs.clemson.edu/regulatory/hornet-herald-10/); Monceau et al., 2014, J Pest Sci 87:1–16; Oten et al., 2023, J Integr Pest Manag 14(1):12",https://www.fda.gov/food/agricultural-biotechnology/bees-pollination,2023,2026-04-13
